Category,Quantity,References,Value,PCB Package,Unit Cost
Motors,2,"M1,M2",6V,NULL,"30,00 BYR"
Resistors,2,"R1,R3",750,1206_RES,"0,03 BYR"
Resistors,1,R2,1M,1206_RES,"0,03 BYR"
Resistors,1,R4,10k,1206_RES,"0,05 BYR"
Resistors,4,"RN1.1,RN1.2,RN1.3,RN1.4",10k,RESCAXS127P305X508X63-8,"0,05 BYR"
Capacitors,1,C1,470uF/50V,CAP_ELEC_10MM,"0,55 BYR"
Capacitors,1,C2,0.33uF,1206_CAP,"0,12 BYR"
Capacitors,6,"C3,C8,C9,C10,C11,C12",0.1uF,1206_CAP,"0,08 BYR"
Capacitors,1,C4,100uF/16V,CAP_ELEC_5MM,"0,26 BYR"
Capacitors,2,"C6,C7",22pF,1206_CAP,"0,05 BYR"
Inductors,1,L1,10uH,IND805,"0,45 BYR"
Integrated Circuits,1,DA1,LM1084IT-5.0/NOPB,TO220,"5,60 BYR"
Integrated Circuits,1,U1,ATMEGA328P,SPDIL28,"6,70 BYR"
Integrated Circuits,2,"U2 DD1.1,U2 DD1.2",SN75453BP,DIL08,"0,90 BYR"
Transistors,4,"Q1,Q2,Q3,Q4",STU407DH,TO252-4L,"2,20 BYR"
Transistors,2,"VT1,VT2",BUZ90,TO220,"2,57 BYR"
Diodes,2,"D1,D2",LED,LEDC3224X270,"0,05 BYR"
Miscellaneous,1,ICSP,2x3_male,HEADER3X2_100_TH,"0,26 BYR"
Miscellaneous,1,J1,25631001RP2,CON10_1X10_U_2563,
Miscellaneous,1,J2,25630601RP2,CON6_1X6_U_2563,
Miscellaneous,2,"JP1,JP2",1x3_male,CONN-SIL3,"0,02 BYR"
Miscellaneous,1,RESET,OFF-ON-OFF,NULL,"0,16 BYR"
Miscellaneous,1,Y1,CRYSTAL,XTAL18,"0,45 BYR"
